0.3162,0.10104,-1.1842
0.31507,0.091097,-1.1818
0.31135,0.083673,-1.1786
0.30564,0.078176,-1.1747
0.29888,0.073733,-1.1705
0.29178,0.069647,-1.1661
0.28484,0.065462,-1.1616
0.27841,0.060835,-1.1572
0.27281,0.055455,-1.153
0.26825,0.049127,-1.149
0.26476,0.041817,-1.1452
0.26214,0.033712,-1.1416
0.26006,0.025145,-1.1381
0.25813,0.016483,-1.1346
0.25607,0.0079959,-1.1309
0.25371,-0.0001546,-1.127
0.25107,-0.0079891,-1.123
0.24828,-0.015639,-1.1189
0.24552,-0.023276,-1.1146
0.24297,-0.031053,-1.1104
0.24071,-0.039059,-1.1061
0.23872,-0.047273,-1.1018
0.2369,-0.055581,-1.0975
0.23503,-0.063805,-1.0931
0.23291,-0.071736,-1.0885
0.2303,-0.07917,-1.0837
0.22705,-0.085966,-1.0786
0.22308,-0.092051,-1.0733
0.21839,-0.097433,-1.0678
0.21309,-0.1022,-1.062
0.20734,-0.10651,-1.0561
0.20132,-0.11051,-1.0499
0.19523,-0.1144,-1.0437
0.18921,-0.11831,-1.0374
0.18334,-0.1223,-1.031
0.17764,-0.12639,-1.0246
0.17203,-0.13051,-1.0181
0.16638,-0.13454,-1.0115
0.16053,-0.13835,-1.0048
0.15436,-0.14177,-0.99784
0.14773,-0.14473,-0.99067
0.14067,-0.1472,-0.98326
0.13322,-0.14922,-0.97561
0.12561,-0.15101,-0.96777
0.11808,-0.15281,-0.95982
0.11097,-0.15497,-0.95188
0.10469,-0.15784,-0.94408
0.099542,-0.16176,-0.93655
0.095786,-0.16697,-0.92937
0.093519,-0.17359,-0.92259
0.092681,-0.18155,-0.91618
0.093038,-0.19059,-0.91004
0.094187,-0.20033,-0.90401
0.09563,-0.21026,-0.89792
0.09684,-0.21988,-0.89159
0.097348,-0.22876,-0.88492
0.096854,-0.2366,-0.87781
0.095243,-0.24333,-0.87028
0.09265,-0.24905,-0.86235
0.089324,-0.25402,-0.85409
0.085584,-0.25853,-0.84561
0.081708,-0.26284,-0.83695
0.07777,-0.26702,-0.82814
0.073699,-0.271,-0.81917
0.069375,-0.27466,-0.80998
0.064847,-0.27804,-0.80059
0.060509,-0.28153,-0.7911
0.057159,-0.28588,-0.78177
0.055648,-0.29192,-0.77284
0.05666,-0.30027,-0.76452
0.048415,-0.28619,-0.76917
0.045444,-0.273,-0.7797
0.045834,-0.26034,-0.79372
0.04656,-0.24763,-0.80755
0.046297,-0.23468,-0.81966
0.044718,-0.22139,-0.82981
0.041855,-0.20782,-0.83808
0.037942,-0.19399,-0.84476
0.033429,-0.17999,-0.8504
0.029002,-0.16595,-0.85573
0.02531,-0.15195,-0.86154
0.022881,-0.13812,-0.86832
0.021797,-0.12445,-0.87624
0.021821,-0.11089,-0.88498
0.022424,-0.097372,-0.89396
0.022932,-0.083764,-0.90246
0.022775,-0.069981,-0.90986
0.021566,-0.055976,-0.91579
0.019217,-0.041726,-0.92018
0.015922,-0.02726,-0.92325
0.012079,-0.012654,-0.9254
0.008153,0.0020233,-0.92711
0.0045726,0.016706,-0.92884
0.001625,0.031343,-0.93094
-0.00055617,0.045904,-0.93351
-0.0020521,0.060411,-0.93652
-0.0030366,0.074885,-0.93975
-0.0038066,0.089382,-0.94289
-0.0046444,0.10394,-0.94563
